Epoch,Training_Loss,Training_Accuracy,Training_Time,Validation_Loss,Validation_Accuracy,Validation_Time
0,2.007461820248221,0.39895234,437.97728300094604,1.3160567439783115,0.53125,33.83070755004883
0,2.056971299823705,0.3831174,417.10317969322205,1.3764769808172037,0.50788736,29.94796323776245
1,1.2351767053912255,0.5610605,416.9774568080902,1.1296514398373736,0.6001398,29.957669019699097
2,1.0620140288399338,0.6225008,416.76113295555115,1.0212172376462065,0.63478434,30.051106691360474
0,1.803080586719513,0.41086,419.1734936237335,1.2825018776893615,0.5361,33.28713297843933
1,1.1933675474071503,0.57426,420.9418001174927,1.2251048102378845,0.5627,33.277607917785645
2,1.052154227180481,0.62434,419.7297902107239,1.0663483107089997,0.617,33.258172273635864
3,0.9496166603183747,0.66098,420.49560594558716,1.0044129789829255,0.6393,33.14390230178833
4,0.8668118171644211,0.69022,420.0526831150055,0.9857427184581756,0.6509,33.09643244743347
5,0.7931573020601272,0.71828,419.7287621498108,0.9754041609287262,0.6565,33.12725043296814
6,0.7203566836643219,0.74582,420.3169152736664,0.8997198975563049,0.6879,33.314112186431885
7,0.6499106948661805,0.76774,420.54626202583313,0.9264618259429932,0.6854,33.27380847930908
8,0.5862409186065197,0.7933,420.57660007476807,0.9453683654546737,0.6815,33.32778191566467
9,0.526675048340559,0.81356,419.6821846961975,0.9491971566677093,0.6918,33.319939851760864
10,0.45887749066352845,0.83812,419.7605640888214,0.9620007061958313,0.6951,33.29736638069153
11,0.40910985681772233,0.85548,420.87720918655396,0.9858969248533249,0.6931,33.423473834991455
12,0.35074342660069463,0.8755,421.16765809059143,1.0258813580036164,0.6942,33.140068769454956
13,0.30843412453442814,0.891,421.1512756347656,1.1221636682629585,0.6875,33.4004864692688
14,0.2618125717550516,0.90606,420.9672408103943,1.1446596597194671,0.6911,33.142415285110474
15,0.23760331366270782,0.916,420.9023747444153,1.2084992319345473,0.6825,33.38470697402954
16,0.20997055607989432,0.92534,420.354385137558,1.2316390568733215,0.6896,33.31634998321533
17,0.19474430532813072,0.93008,420.03615736961365,1.201505437707901,0.691,33.15386605262756
18,0.17373979836069048,0.939,420.7808690071106,1.2723249049663543,0.688,33.3929386138916
19,0.16298506684020161,0.942,421.2752356529236,1.3157910562753676,0.6871,33.43595266342163
20,0.14958958451926707,0.94644,420.65329098701477,1.3598868219852447,0.6856,33.39389657974243
21,0.13569326569661497,0.95152,420.34858298301697,1.4230510458648205,0.6831,33.37637495994568
22,0.13775021030522883,0.95174,420.9339323043823,1.4055621445775033,0.6895,33.43684220314026
23,0.1213744955843687,0.95756,420.6894385814667,1.3931943868517875,0.6957,33.324235677719116
24,0.11713463870219887,0.95792,421.3869197368622,1.4117318348884582,0.6971,33.35051250457764
25,0.11260598066210747,0.9602,420.7750608921051,1.484807348704338,0.6914,33.36405539512634
26,0.1090991763547808,0.96162,421.4908401966095,1.4316994671344756,0.6965,33.327911138534546
27,0.10117376093873755,0.96558,420.66548466682434,1.4699440114617348,0.6962,33.28999662399292
28,0.09189015089115128,0.96846,421.00212121009827,1.539338949739933,0.6956,33.3653769493103
29,0.09694935054423287,0.96612,420.78731083869934,1.508468533974886,0.6958,33.28226947784424
30,0.09001480305148289,0.9692,420.81632947921753,1.5360168535232543,0.6934,33.297162771224976
31,0.08338966473797337,0.97128,420.71706080436707,1.5372466279149055,0.6971,33.32397794723511
32,0.08469352483008057,0.97088,421.1519179344177,1.5475910558342933,0.6948,33.369197607040405
33,0.08181465452964418,0.97196,420.837730884552,1.5010281636238099,0.7003,33.41648554801941
34,0.07833800219594035,0.97288,420.7592661380768,1.594367666333914,0.6918,33.14604473114014
35,0.07596194372519385,0.97402,420.50732827186584,1.5677402615904807,0.6952,33.40580105781555
36,0.07119153714611196,0.97566,420.76141810417175,1.6311462988853456,0.6949,33.334877014160156
37,0.0655232766566053,0.97722,420.3646605014801,1.6056188275426626,0.704,33.38725996017456
38,0.06902786869620439,0.97646,420.03453612327576,1.6106703113317489,0.6956,33.08883547782898
39,0.0681268587120343,0.97614,421.1112644672394,1.598854940673709,0.7019,33.26820468902588
40,0.06301828834157437,0.97784,420.9125027656555,1.6664961135387422,0.6923,33.1087327003479
41,0.06534681997921783,0.97772,420.777845621109,1.6028230919659139,0.6988,33.35775542259216
42,0.060509711457332596,0.97896,420.52449893951416,1.6044790427654982,0.7034,33.35457754135132
43,0.05625773576843552,0.97998,420.22716188430786,1.627910497313738,0.6997,33.345537424087524
44,0.060078064319849946,0.97936,420.26053833961487,1.6178137777924537,0.6999,33.427151679992676
45,0.05774636581122643,0.98034,419.5707497596741,1.6874886428058147,0.6968,33.28692984580994
46,0.05233252875726204,0.98114,420.34683871269226,1.6567503163918853,0.7017,33.11329174041748
47,0.0540290613487619,0.98152,421.52297139167786,1.6529044112414122,0.6968,33.392364501953125
48,0.054552962380696554,0.98062,420.32084798812866,1.6757389141649008,0.7025,33.11354994773865
49,0.05056340622616699,0.98296,420.8677623271942,1.5946183833956717,0.7076,33.34702801704407
50,0.05086282236368395,0.9828,420.2974503040314,1.612821795809269,0.7097,33.348020792007446
51,0.04946338039382361,0.9834,420.97592425346375,1.6484205038666726,0.6978,33.28270244598389
52,0.04798035031066742,0.98404,420.6516008377075,1.6442882169723512,0.7026,33.12716794013977
53,0.04801455130826449,0.9831,420.9117579460144,1.6691502352207899,0.7056,33.17842507362366
54,0.04572048102557892,0.98412,421.2004601955414,1.711792231297493,0.7043,33.40743017196655
55,0.046383236846996,0.98394,420.69413018226624,1.699407887506485,0.7005,33.1285605430603
56,0.04273395157947903,0.98578,420.0732641220093,1.7627141747355461,0.6983,33.306124210357666
57,0.045381411109376935,0.9843,420.7860414981842,1.727762557888031,0.703,33.106958627700806
58,0.03900681282781065,0.98636,420.33722829818726,1.762070893150568,0.7004,33.24986672401428
59,0.0419159773435723,0.98536,420.94223618507385,1.7016433444440364,0.7098,33.123565912246704
60,0.03997891045870492,0.98636,420.7814540863037,1.7463408416107298,0.6996,33.25099229812622
61,0.040930424823598,0.98602,420.80253195762634,1.7413227782428264,0.7066,33.325981855392456
62,0.04106951086254557,0.98558,420.6856701374054,1.736769725215435,0.7042,33.25967621803284
63,0.036161232266549485,0.98702,421.8818311691284,1.7550921000033617,0.6986,33.312281131744385
64,0.03775594653231325,0.9876,420.85911202430725,1.8679721600294112,0.6943,33.11259150505066
65,0.04078234003307531,0.98658,420.2573745250702,1.6983548760011793,0.7113,33.18709206581116
66,0.034517053070765684,0.98828,419.30832600593567,1.7798936464697122,0.701,33.18507266044617
67,0.03781066993820103,0.98752,420.5745770931244,1.8020625885412096,0.7036,33.101507902145386
68,0.037663164879495746,0.98724,420.20030999183655,1.6736366781204939,0.709,33.31389880180359
69,0.032276399076203235,0.98874,421.2331385612488,1.8278638259112836,0.7016,33.11804246902466
70,0.03597413700882345,0.98794,420.7993025779724,1.789860845157504,0.7077,33.33625769615173
71,0.03493560226710397,0.98784,420.01263403892517,1.8175912025928498,0.7045,33.12243866920471
72,0.0314223831900768,0.98906,419.9971134662628,1.7972796074062585,0.7079,33.16962003707886
73,0.031622244793528514,0.98952,420.1809229850769,1.855032011038065,0.6989,33.13852548599243
74,0.034361183544715165,0.98856,420.84228134155273,1.8825227953165768,0.6986,33.35427761077881
75,0.030887378071810235,0.99026,421.11402583122253,1.8302859546422958,0.7051,33.16433095932007
76,0.032941692209563916,0.98878,420.2951629161835,1.806095326600969,0.7062,33.15454697608948
77,0.03151709829892788,0.98906,419.58958077430725,1.8023940800249576,0.7112,33.13459348678589
78,0.03180753578187025,0.98878,419.344685792923,1.8760567179456353,0.7001,33.350298166275024
79,0.03099524368172948,0.98982,420.53869795799255,1.8375943275928497,0.7017,33.29208827018738
80,0.02934950620393036,0.98998,420.0086543560028,1.7986703888058662,0.7066,33.26741886138916
81,0.028435620646534952,0.9905,419.44155049324036,1.850431651866436,0.7015,33.08143186569214

0,4.229035167312622,0.0802,403.78079628944397,3.7000730281829832,0.1344,40.98572039604187
1,3.4035633058166503,0.18834,853.9176340103149,3.199612154388428,0.2229,41.216273069381714
2,3.00636768825531,0.25968,1308.2483623027802,2.866631505393982,0.2871,41.950817584991455
3,2.705384856758118,0.31786,1763.5854251384735,2.6854662410736085,0.3166,42.07418394088745
4,2.4733467282485964,0.36206,2219.9030187129974,2.5638015802383425,0.3449,41.92845916748047
5,2.2819297605895996,0.4017,2677.363432407379,2.493126556396484,0.3645,41.98634934425354
6,2.109802665939331,0.43938,3135.537564277649,2.455019679069519,0.3749,42.04019570350647
7,1.9474742746925353,0.47694,3594.7655375003815,2.398640823364258,0.3874,42.55659246444702
8,1.780959917640686,0.5141,4055.8474550247192,2.4013549253463746,0.404,42.7522759437561
9,1.6324478644561768,0.54632,4517.2054805755615,2.3818473947525023,0.4043,43.212085008621216
10,1.472999371767044,0.58832,4980.710162401199,2.4394513595581055,0.4014,42.34458613395691
11,1.3251061950778962,0.62502,5441.534211158752,2.4893967319488524,0.4036,42.887526988983154
12,1.1698120837593078,0.66604,5903.417343378067,2.5199909868240358,0.408,43.5823757648468
13,1.0259360252285004,0.70424,6368.088354349136,2.593981142234802,0.4046,42.58765769004822
14,0.893351611251831,0.7403,6832.17413854599,2.705959419822693,0.3927,43.545135498046875
15,0.7759538014650345,0.77104,7297.112127780914,2.793643835735321,0.4003,43.69358253479004
16,0.6750171640372277,0.8021,7762.751626968384,2.877654469680786,0.3963,43.294370889663696
17,0.5782809235477447,0.82838,8227.5133831501,2.9667171836853026,0.3959,43.17532801628113
18,0.5129801400339603,0.84898,8692.585529327393,3.0586534996032713,0.4001,44.761367321014404
19,0.43972095227122304,0.86786,9160.748313903809,3.16450555896759,0.3937,44.27411103248596
20,0.39630328304052354,0.88142,9628.4699280262,3.238023982620239,0.3959,44.79775047302246
21,0.35685709367096424,0.89276,10096.447773694992,3.3393649591445924,0.3873,43.533079862594604
22,0.3218586179602146,0.90302,10562.571765422821,3.4057619329452513,0.3918,43.67877459526062
23,0.29158486355006696,0.91214,11030.494936943054,3.499293137359619,0.3876,43.60551071166992
24,0.273051392467767,0.91842,11499.74959564209,3.5500786914825437,0.3937,43.87466311454773
