Epoch,Training_Loss,Training_Accuracy,Training_Time,Validation_Loss,Validation_Accuracy,Validation_Time
0,4.155123320388794,0.09158,436.1097958087921,3.5764112781524657,0.1532,36.87620663642883
1,3.2863397718811034,0.20368,912.0872893333435,3.027901708602905,0.2527,37.01460385322571
2,2.77249067237854,0.30042,1388.7858057022095,2.610342534828186,0.3373,37.142133951187134
3,2.4157663585662843,0.37232,1865.8338751792908,2.372155561828613,0.3829,37.182928800582886
4,2.1520163885116577,0.4272,2343.0270340442657,2.219946406555176,0.4099,37.21183657646179
5,1.942842649269104,0.47262,2820.427232980728,2.135163228034973,0.4376,37.101895332336426
6,1.7653017295265199,0.51114,3298.2191886901855,2.0283934955596923,0.4589,37.07115411758423
7,1.5952978672790528,0.55446,3775.950298309326,2.014965214538574,0.4635,37.12362718582153
8,1.4365387957000733,0.59282,4253.739852905273,2.030312718677521,0.4695,37.21262526512146
9,1.2785654706478118,0.63284,4731.8606514930725,2.017758594417572,0.4802,37.13246297836304
10,1.1275582589626312,0.67262,5210.029952287674,2.0567464477539064,0.4697,37.180201053619385
11,0.9825245286655426,0.70916,5688.292648077011,2.1175303608894347,0.4762,37.20764088630676
12,0.8470807439136505,0.74622,6166.208393573761,2.119297083759308,0.482,37.13043999671936
13,0.7202989022636413,0.78204,6644.5616092681885,2.228630816936493,0.4795,37.25825047492981
14,0.6087305393266678,0.81464,7123.007727384567,2.2583533966064455,0.4807,37.22906160354614
15,0.5118182488822937,0.84226,7601.522730350494,2.3607845868110657,0.4792,37.28257417678833
16,0.4316258678364754,0.86762,8079.936004400253,2.4469688818454745,0.4736,37.24295496940613
17,0.36930912175655367,0.8862,8558.43169593811,2.5125745137691498,0.4748,37.27919340133667
18,0.31477625258922576,0.90202,9036.896833896637,2.632899020767212,0.4723,37.152838468551636
19,0.2803817117339373,0.91254,9515.370381116867,2.705764751338959,0.4707,37.24025321006775
20,0.2532118813839555,0.92088,9993.63847064972,2.8172754217624663,0.4691,37.26261878013611
21,0.22420256654411555,0.93016,10472.18232345581,2.7885756761550904,0.4671,37.22604322433472
22,0.20802636957883835,0.93452,10950.709799051285,2.834451091480255,0.4735,37.33190035820007
23,0.19257540542706847,0.93852,11429.614670038223,2.8757510127067567,0.4791,37.261401653289795
24,0.17119874918170272,0.94726,11908.306404590607,2.983322509384155,0.4751,37.221864461898804
25,0.1678734854952991,0.94762,12386.768353700638,3.0521354850769042,0.4672,37.30998730659485
26,0.15683652799621225,0.94984,12865.342604160309,3.0342018030166624,0.4757,37.38958668708801
27,0.15059284009106458,0.95214,13344.75934123993,3.080921759605408,0.4723,37.28458309173584
28,0.14087592850774527,0.95484,13823.581682443619,3.087336424732208,0.4719,37.34449577331543
29,0.13858104902915658,0.95622,14302.669322490692,3.0354874656677246,0.4845,37.33811855316162
30,0.12506766999311744,0.95962,14781.496024370193,3.1256683970451355,0.4794,37.30973505973816
31,0.1161925687173009,0.96344,15260.318093776703,3.1576805031776427,0.4722,37.30698537826538
32,0.1165025851938501,0.96346,15739.153079271317,3.1943265743255616,0.4733,37.32177758216858
33,0.11121398960866966,0.96448,16217.736107349396,3.17258517408371,0.482,37.29811763763428
34,0.10348769958781079,0.96682,16696.621806144714,3.2070979630470275,0.4814,37.30318307876587
35,0.10227773969141767,0.96712,17175.27372431755,3.2183538566589354,0.4779,37.28496980667114
36,0.09573701170545071,0.96948,17654.138696193695,3.23722025680542,0.4745,37.27717733383179
37,0.09612536432556808,0.96936,18133.072521448135,3.2827820116996764,0.4807,37.34654355049133
38,0.09255041619351134,0.97108,18612.082604408264,3.278486411142349,0.4728,37.26339364051819
39,0.0866938013618067,0.97226,19090.826324939728,3.31109918012619,0.4804,37.353222370147705
40,0.08776696575207636,0.9718,19569.560190439224,3.334445838165283,0.4822,37.2095685005188
41,0.0770880564202182,0.9754,20047.903417110443,3.2816849712371825,0.4892,37.278488874435425
42,0.08268735345852561,0.973,20526.582654237747,3.3647460002899168,0.4813,37.28201913833618
43,0.0804412901462242,0.97516,21005.147880077362,3.387938272047043,0.482,37.321497201919556
44,0.07390610318653286,0.97622,21483.48624444008,3.4442840532302856,0.4839,37.250985622406006
45,0.07283198264775333,0.9769,21961.578189849854,3.380493740081787,0.4848,37.3094208240509
46,0.0737325624796003,0.97628,22440.095105171204,3.372969033718109,0.4884,37.279446840286255
47,0.06874672832787036,0.97762,22918.938254594803,3.470649013996124,0.4843,37.30081534385681
48,0.07072688457248733,0.97682,23397.49545121193,3.419228060626984,0.4812,37.244667053222656
49,0.06632423846076942,0.97898,23875.815231323242,3.562790343761444,0.4737,37.356661796569824
50,0.0630069051511446,0.98024,24354.31685256958,3.4497295608520506,0.4871,37.208409786224365
