Epoch,Training_Loss,Training_Accuracy,Training_Time,Validation_Loss,Validation_Accuracy,Validation_Time
0,4.260054753036499,0.07174,93.74707865715027,3.7735773803710937,0.1141,8.235654354095459
1,3.5414064151763918,0.1562,196.61566615104675,3.357222876358032,0.1902,8.21302604675293
2,3.162667179489136,0.22116,299.64503169059753,2.9724751583099365,0.2646,8.091511249542236
3,2.821780149116516,0.28684,402.2302141189575,2.751333411216736,0.3067,8.217384099960327
4,2.5758005067443848,0.33728,504.95708537101746,2.5557833641052246,0.339,8.133946657180786
5,2.3737537826919555,0.37688,607.8847498893738,2.477967271232605,0.3642,8.238770961761475
6,2.20377169342041,0.4132,710.9342613220215,2.3915582344055175,0.3796,8.294499158859253
7,2.0404779692077635,0.44568,814.162828207016,2.3211982581138613,0.3962,8.242200136184692
8,1.897188498134613,0.48078,917.3148593902588,2.272467425441742,0.4122,8.10598111152649
9,1.749231866722107,0.51406,1020.45920586586,2.2437871627807615,0.4195,8.230308771133423
10,1.6015651631164551,0.55124,1123.6353933811188,2.238657184505463,0.4241,8.172313213348389
11,1.4656961730957032,0.58432,1226.4115636348724,2.2443344858169554,0.4324,8.22710919380188
12,1.3339712706661224,0.61492,1329.859167098999,2.3078819931030274,0.4268,8.232732057571411
13,1.197875242471695,0.65158,1433.240850687027,2.2670856184959414,0.4371,8.184388875961304
14,1.0808817936325072,0.68168,1535.9302296638489,2.337253893184662,0.4402,8.25055456161499
15,0.9716502736663818,0.71066,1639.0886821746826,2.3919149586677553,0.4303,8.19869875907898
16,0.8570470615482331,0.74404,1742.2656157016754,2.4997930692672727,0.4307,8.14534330368042
17,0.7634177834534646,0.77028,1845.452172279358,2.534797485256195,0.4325,8.215126514434814
18,0.6765222104883194,0.79424,1948.6209485530853,2.5729996247291567,0.4421,8.116473913192749
19,0.6152006841731071,0.81026,2051.5685560703278,2.6649092785835267,0.4298,8.25748610496521
20,0.5456630399370194,0.8333,2153.500128030777,2.7712322052001954,0.4282,8.25341248512268
21,0.4942926283621788,0.84878,2255.726271867752,2.8045763937950134,0.4252,8.228278160095215
22,0.45360337645888327,0.86004,2358.023366212845,2.825608431148529,0.4346,8.207123041152954
23,0.42305296187758445,0.86962,2461.949362754822,2.956525193595886,0.4271,8.190288066864014
24,0.3805033928501606,0.88254,2564.49298286438,3.008162583065033,0.4269,8.242978811264038
25,0.36465335302889346,0.88698,2667.570653438568,3.0539624524116515,0.422,8.224344730377197
26,0.3352317291998863,0.89738,2770.6642546653748,3.067484101963043,0.4308,8.26117205619812
27,0.31852634948432446,0.89892,2873.6028158664703,3.125938516330719,0.4321,8.194226264953613
28,0.29977979095578194,0.90672,2976.7706751823425,3.1601416768074038,0.4343,8.184132099151611
29,0.2875777953988314,0.91034,3081.2889444828033,3.1577336881637574,0.4418,8.275667667388916
30,0.2681185327476263,0.91596,3185.6187863349915,3.2447251369476318,0.4357,8.235141277313232
31,0.26376838509857653,0.91726,3290.304542541504,3.2537230204582213,0.4315,8.206226825714111
32,0.23932457477122546,0.9252,3393.4966802597046,3.2815829891204835,0.4376,8.18935227394104
33,0.24360761507242917,0.92324,3497.8679032325745,3.3541440620422365,0.4285,8.232141971588135
34,0.23227109793633222,0.92736,3601.2761924266815,3.4109990188598633,0.4257,8.242603778839111
35,0.2165704317058623,0.93208,3704.190247774124,3.3705970958709717,0.4385,8.290929794311523
36,0.21412439378783107,0.93094,3809.1586368083954,3.4151075015068053,0.4345,8.20235800743103
37,0.20454867812260985,0.93574,3912.6162283420563,3.414117052745819,0.4335,8.204823017120361
38,0.20079886022612453,0.93656,4015.7847151756287,3.4733311918258667,0.4353,8.202021837234497
39,0.19126871283993124,0.93994,4119.248783349991,3.436631937408447,0.436,8.248185873031616
40,0.18918339777238666,0.94162,4222.696103811264,3.5224863629341128,0.4324,8.413610219955444
41,0.1829501307167113,0.94176,4326.10626244545,3.4876393555641174,0.4348,8.245054483413696
42,0.17262391724616288,0.9462,4429.510942459106,3.5003945233345033,0.4438,8.19304871559143
43,0.1678839455865696,0.94782,4534.178912401199,3.6184564630508422,0.4305,8.222960233688354
44,0.16904076524943112,0.94714,4637.671020269394,3.682082368755341,0.4271,8.22252869606018
45,0.16350749130532147,0.94808,4741.071599245071,3.6421171370506285,0.4401,8.224322080612183
46,0.15645996193140746,0.95034,4845.74858379364,3.668348411464691,0.4354,8.413856506347656
47,0.15067164038341493,0.95244,4949.1119339466095,3.6866800978660583,0.4313,8.207772970199585
48,0.14713858483280987,0.95404,5052.295109987259,3.664769634819031,0.4345,8.254332304000854
49,0.14995464611403644,0.95292,5155.518164396286,3.6927218894004823,0.4373,8.205183506011963
50,0.14323731836091727,0.95538,5258.884217739105,3.6592844833374025,0.4376,8.221329689025879
51,0.13889509287685156,0.95666,5361.979841709137,3.7338337555885315,0.4359,8.232677936553955
52,0.1370367559604347,0.95668,5465.199716329575,3.7790956642150877,0.4277,8.19268012046814
53,0.13710374410349876,0.95722,5568.566274166107,3.761571551990509,0.4396,8.278857946395874
54,0.13185970610611142,0.95824,5672.020226240158,3.783596956062317,0.44,8.216473579406738
55,0.12825443921729923,0.9597,5775.401529550552,3.8047230907440186,0.435,8.196407079696655
56,0.12794451125815512,0.95836,5878.771738290787,3.782613634300232,0.4432,8.266984224319458
57,0.12591116690687834,0.96032,5982.806061029434,3.779471352863312,0.4401,8.25525951385498
58,0.12290454443193972,0.96158,6085.920637845993,3.8284491251945494,0.4377,8.240924835205078
