Epoch,Training_Loss,Training_Accuracy,Training_Time,Validation_Loss,Validation_Accuracy,Validation_Time
0,4.271886854248047,0.07196,94.97241616249084,3.810886037063599,0.1141,8.206697463989258
1,3.5823321562194823,0.1491,198.02831649780273,3.3525849227905273,0.189,8.227049589157104
2,3.1979635385131835,0.2192,301.4932053089142,3.069304903411865,0.2381,8.215781688690186
3,2.8825976484298708,0.27506,405.18035340309143,2.8297328784942626,0.2894,8.239752531051636
4,2.6360372027587893,0.32272,508.7111670970917,2.6667354972839354,0.3201,8.22458553314209
5,2.4390059577941896,0.36386,612.185183763504,2.5627480047225952,0.3476,8.16235899925232
6,2.264753066520691,0.39786,715.6268103122711,2.485613646316528,0.3633,8.238806962966919
7,2.102297526817322,0.43278,819.8103256225586,2.456716545677185,0.3683,8.264238119125366
8,1.949516681804657,0.46724,923.6071639060974,2.385553677177429,0.3862,8.200289249420166
9,1.7834109946060182,0.50558,1027.3742213249207,2.397156262207031,0.3895,8.208388090133667
10,1.6231597998809815,0.54522,1131.0397534370422,2.423439817428589,0.3895,8.182785987854004
11,1.4693407939815522,0.58128,1234.7752149105072,2.4601296585083006,0.3998,8.178892850875854
12,1.316563910188675,0.62172,1338.8461589813232,2.480197467803955,0.3972,8.253006935119629
13,1.1656069292163849,0.6611,1442.9070296287537,2.5852365623474123,0.3911,8.162048816680908
14,1.0363454272270203,0.69464,1546.604730129242,2.62199552898407,0.4039,8.190406799316406
15,0.920159091219902,0.72856,1650.3468177318573,2.700579850578308,0.3996,8.229213237762451
16,0.8006204338979721,0.76166,1754.6898288726807,2.764291021633148,0.3959,8.169961929321289
17,0.7099684985208511,0.7873,1858.6082973480225,2.8426241231918334,0.3957,8.160851240158081
18,0.617365521428585,0.81552,1962.6310832500458,2.938440697669983,0.3958,8.170420408248901
19,0.5553105800533295,0.83274,2066.5390322208405,3.0621041681289674,0.3889,8.227954387664795
20,0.5022116743719578,0.84662,2170.5289738178253,3.0944504412651064,0.3985,8.163775444030762
21,0.45518052977919576,0.86188,2274.49751162529,3.169779461288452,0.4014,8.232256889343262
22,0.41597344797492025,0.87274,2378.5838525295258,3.202004032325745,0.4012,8.213270664215088
23,0.385783143992424,0.88216,2482.5684955120087,3.306358716392517,0.3905,8.201611757278442
24,0.35887536034762857,0.89026,2586.668184041977,3.3697331823348997,0.387,8.201234579086304
25,0.33276322323560714,0.89858,2690.74481344223,3.4418809875488283,0.393,8.204181671142578
26,2.964952915315628,0.25836,2795.153229236603,2.841813013458252,0.2766,8.204022407531738
27,2.6415867304611207,0.31798,2899.2540323734283,2.658898711204529,0.3121,8.211498498916626
28,2.36206020280838,0.3704,3003.4523570537567,2.438059058189392,0.3701,8.220545291900635
29,2.1243883192825317,0.42386,3107.918288707733,2.243118602180481,0.4098,8.172173976898193
30,1.9438245989990235,0.46388,3212.386479616165,2.2114112312316894,0.4228,8.186408996582031
31,1.7679104368782044,0.50378,3317.2065691947937,2.187997979450226,0.436,8.155200958251953
32,1.6041306477546693,0.54228,3421.6416606903076,2.233360179519653,0.4276,8.149726629257202
33,1.447157002840042,0.58364,3526.0774762630463,2.1735737623214724,0.4432,8.176743984222412
34,1.297610567483902,0.61656,3630.5352215766907,2.248578312206268,0.445,8.163098335266113
35,1.161105945057869,0.65024,3734.65860247612,2.248182649898529,0.4549,8.192832231521606
36,1.0276555778455734,0.68576,3839.1482059955597,2.360036981010437,0.4531,8.177834510803223
37,0.9076635583662986,0.71936,3943.662945985794,2.490484066772461,0.4537,8.17918062210083
38,0.8156615769195557,0.74302,4048.1747665405273,2.596531418991089,0.4474,8.184548377990723
39,0.7209448721301556,0.7707,4152.632983207703,2.6529133672714234,0.4527,8.226750612258911
40,0.6399899409353733,0.79396,4257.0486471652985,2.8569567680358885,0.4415,8.130597352981567
41,0.576765378858447,0.8127,4361.457404613495,2.982403436660767,0.4402,8.173942804336548
42,0.5219149795943498,0.83054,4465.935253620148,2.9679166138648987,0.4547,8.245798587799072
43,0.4816836051404476,0.84238,4570.682910442352,3.103372999238968,0.4479,8.40785527229309
44,0.4403948522472382,0.85556,4675.35883140564,3.188903908443451,0.4473,8.1834077835083
45,0.4089161560046673,0.8659,4779.81720328331,3.231885378074646,0.4479,8.242592096328735
46,0.37397477027356624,0.877,4884.336266517639,3.3768103630065918,0.4472,8.372550249099731
47,0.34870496162325143,0.88594,4989.200074195862,3.3765849091529847,0.4421,8.427529096603394
48,0.3338977050925791,0.88964,5094.394729137421,3.4898919919967653,0.4482,8.180185317993164
49,0.3105093025776744,0.89854,5199.1791133880615,3.4899547498703,0.4534,8.182986736297607
50,0.29591323407784104,0.9018,5303.95117521286,3.5376893550872803,0.4476,8.207392692565918
51,0.2799684290064871,0.9077,5408.770030975342,3.564046328830719,0.4541,8.186880826950073
52,0.25937180642679336,0.91372,5513.851639509201,3.636011019039154,0.4546,8.174086332321167
