Epoch,Training_Loss,Training_Accuracy,Training_Time,Validation_Loss,Validation_Accuracy,Validation_Time
0,4.268494800186157,0.07168,96.14308404922485,3.7776696895599366,0.1171,8.188401937484741
1,3.5643936864471435,0.1524,200.7692575454712,3.3476618938446046,0.1919,8.21000862121582
2,3.180360752029419,0.22252,305.3936309814453,3.0004934995651245,0.2506,8.166808128356934
3,2.8609871417999266,0.27916,410.0195746421814,2.7767421768188476,0.2964,8.167954444885254
4,2.6262518565368653,0.32434,514.846958398819,2.658208057785034,0.3193,8.391921758651733
5,2.4425477477645874,0.36062,619.6022074222565,2.5350199426651,0.3561,8.199557065963745
6,2.281755474910736,0.39474,724.4961323738098,2.499868988227844,0.3657,8.367648124694824
7,2.1194447263908387,0.42974,829.6276957988739,2.4129755744934083,0.377,8.182338237762451
8,1.959823489742279,0.46534,934.553197145462,2.4043187425613404,0.3902,8.18988037109375
9,1.8075132586479188,0.5008,1039.5031836032867,2.3912000270843508,0.3965,8.202454805374146
10,1.652809794139862,0.5372,1144.099424123764,2.387322046470642,0.4027,8.172024250030518
11,1.5065989412403107,0.57282,1248.69287276268,2.4237014758110047,0.4021,8.170101881027222
12,1.354050261964798,0.61062,1353.314920425415,2.50424659614563,0.3904,8.389062404632568
13,1.2156536525821686,0.6495,1458.4701097011566,2.52035040807724,0.3996,8.178836107254028
14,1.0853754888153075,0.68234,1563.382273197174,2.6371230738639833,0.3936,8.160467386245728
15,0.9602538024902344,0.71752,1668.1805651187897,2.6999016984939574,0.3976,8.224940776824951
16,0.8429070675230026,0.74922,1773.1702525615692,2.7782841882705687,0.3958,8.183095932006836
17,0.7503152926492691,0.7769,1877.816733121872,2.828379930305481,0.3953,8.388731718063354
18,0.6698527204537391,0.79856,1982.6774225234985,2.908392074203491,0.3951,8.183292865753174
19,0.5977387554574013,0.81738,2087.614774942398,2.9956253560066224,0.3888,8.166296005249023
20,0.5400184880399704,0.83606,2192.458332300186,3.0596967732429503,0.3899,8.412314653396606
21,0.4904026247406006,0.85028,2297.5091927051544,3.174296529197693,0.3866,8.182930946350098
22,0.44514281286656854,0.86304,2402.149337530136,3.1898834674835204,0.3975,8.396669387817383
23,0.4072884922593832,0.87668,2507.284819841385,3.321674703216553,0.3855,8.382886171340942
24,0.39215397850453854,0.87938,2612.323205471039,3.3652962579727173,0.3862,8.394950151443481
25,0.35626678374052045,0.89194,2716.866197347641,3.3672571548461914,0.39,8.17061734199524
26,3.5250367399644853,0.16096,2821.6286096572876,3.148435104179382,0.2024,8.20823860168457
27,2.940770409736633,0.2542,2926.3347589969635,2.764924176979065,0.2848,8.18323016166687
28,2.616348254814148,0.318,3031.302746295929,2.5502729345321655,0.3291,8.405340671539307
29,2.3882171040344238,0.36758,3136.2114403247833,2.3634480650901795,0.3762,8.210871934890747
30,2.209963963813782,0.4067,3240.7374064922333,2.274781664657593,0.3906,8.17913007736206
31,2.0573497279167174,0.44012,3345.194070339203,2.187009131526947,0.4242,8.176584482192993
32,1.9129368513679503,0.47452,3451.377716779709,2.1695782196044924,0.4287,8.216509819030762
33,1.7836715636825562,0.50326,3556.936265230179,2.066980623817444,0.4528,8.195374250411987
34,1.6655755678749085,0.52862,3662.253045320511,2.0575877849578856,0.457,8.204672813415527
35,1.5519281412506103,0.5576,3767.6532402038574,2.064610334300995,0.4619,8.191807985305786
36,1.4345531872844697,0.58444,3873.5110607147217,2.092542359352112,0.4758,8.403292179107666
37,1.3257494398784637,0.60996,3979.794282436371,2.233589311695099,0.4504,8.189425706863403
38,1.2217611310863494,0.63742,4085.479707479477,2.1499836839675903,0.4735,8.188044786453247
39,1.1229443233919143,0.66148,4190.7337946891785,2.2348799927711487,0.4632,8.239808082580566
40,1.0296935505962372,0.68752,4296.388706684113,2.3399310079574587,0.4625,8.21860933303833
41,0.9342164643430709,0.70994,4401.492862224579,2.4362495176792143,0.4619,8.22697925567627
42,0.8490025670576096,0.73394,4504.829156398773,2.5221591965675354,0.4595,8.241876602172852
43,0.7725640885043145,0.75714,4608.7822523117065,2.5779330878257753,0.4607,8.419341564178467
44,0.7209236396598816,0.77086,4713.133664369583,2.67122818403244,0.4589,8.237039566040039
45,0.6452152418804169,0.79188,4816.789605617523,2.7299912232398986,0.4575,8.257718563079834
46,0.6027877233862877,0.80572,4920.6674954891205,2.878484750652313,0.4596,8.221961975097656
47,0.5485397453379631,0.82082,5024.326078414917,3.0128451707839967,0.4561,8.216955661773682
48,0.5125242528796196,0.83386,5128.190093994141,3.0666513960838317,0.4566,8.20828652381897
49,0.4769712359246612,0.84352,5231.81082367897,3.178907771682739,0.4473,8.209822416305542
50,0.4389950643312931,0.85504,5335.619338989258,3.3399816720962523,0.4456,8.431332111358643
51,0.41258090798079966,0.86374,5439.473627328873,3.2559764653205874,0.4535,8.234534502029419
52,0.3874819481992722,0.8711,5543.441625595093,3.4073629014968874,0.4531,8.20259165763855
53,0.3710446469721198,0.87692,5647.391370534897,3.4481164605140684,0.4553,8.199249029159546
54,0.34128622366480527,0.88674,5751.207137584686,3.6309327456474305,0.4441,8.438379526138306
55,0.3271375475302339,0.89192,5855.01203751564,3.4239185161590577,0.4536,8.213351488113403
56,0.1322053231528774,0.95782,5958.951288223267,3.7411901753425596,0.4672,8.208519220352173
57,0.09841183914186433,0.96788,6064.011779785156,4.118860987854004,0.4672,8.209498882293701
58,0.09201548946876079,0.97072,6169.142340660095,4.207437466049194,0.4693,8.24194073677063
59,0.08656350647573359,0.97056,6274.363851070404,4.287844877815247,0.4695,8.195871829986572
60,0.08489043321763165,0.97192,6379.743323802948,4.436432970333099,0.465,8.21810793876648
61,0.08468212752470747,0.97148,6483.491495370865,4.564943964672088,0.4583,8.429203033447266
62,0.08389865489488467,0.97274,6587.729511976242,4.6525397859573365,0.467,8.234155893325806
63,0.07775953919725959,0.97472,6691.69646692276,4.609421740150451,0.4631,8.240408420562744
64,0.0780424392139772,0.97424,6795.762265205383,4.619059601116181,0.4699,8.228185653686523
65,0.07387878515228397,0.9761,6901.3831923007965,4.586952044200897,0.4697,8.223228216171265
66,0.07295569632981903,0.97598,7006.954695224762,4.668673331546784,0.4653,8.196828603744507
67,0.07382271319045686,0.97574,7111.18092250824,4.803627691650391,0.4679,8.204468965530396
68,0.07294400344840717,0.9766,7215.199495315552,4.725990705394745,0.4645,8.231277465820312
69,0.0747447285991488,0.97522,7319.484681367874,4.739246341896057,0.4681,8.24310564994812
70,0.07133267716614529,0.97606,7423.567103385925,4.8850014163970945,0.4639,8.217803239822388
71,0.07514792440082645,0.97474,7527.834162473679,4.853543859100342,0.4663,8.214676856994629
72,0.07332393700582208,0.97508,7631.916651248932,4.938653845596313,0.4612,8.244797229766846
73,0.06978709960126783,0.97676,7736.0266444683075,4.83443352060318,0.4663,8.430140972137451
74,0.06739904413708718,0.97836,7840.5421352386475,4.83981230430603,0.471,8.218760251998901
75,0.06816071817359189,0.97754,7945.820716142654,4.897983966445923,0.4658,8.18352484703064
76,0.06939389098015847,0.9772,8049.842167377472,4.938912357711792,0.4636,8.20138144493103
77,0.06394279215294635,0.9792,8153.9147000312805,5.03195776348114,0.4576,8.216302871704102
