Epoch,Training_Loss,Training_Accuracy,Training_Time,Validation_Loss,Validation_Accuracy,Validation_Time
0,1.7212515641975403,0.36036,358.75204062461853,1.4927557664871216,0.4491,27.60012936592102
1,1.449436024684906,0.4699,764.7789378166199,1.432642125415802,0.4835,28.15133500099182
2,1.3557215669059755,0.50452,1174.4770562648773,1.370649098587036,0.4982,29.246970415115356
3,1.2821592082691193,0.53112,1587.6651878356934,1.277518975353241,0.5406,28.283733367919922
4,1.2273779936599731,0.5548,2001.2124075889587,1.2471488712310792,0.5517,29.23664093017578
5,1.1793590672588348,0.57352,2415.1063525676727,1.1900381776332856,0.5716,29.349411964416504
6,1.1398024643325806,0.58634,2828.974850654602,1.1770758387565612,0.5763,29.377760648727417
7,1.1010413012218476,0.6009,3242.9167885780334,1.1433286317825317,0.5905,29.440566539764404
8,1.0677843469429016,0.6125,3658.4174983501434,1.1348377601146697,0.5916,29.04297971725464
9,1.023766123790741,0.63134,4076.010989665985,1.0786674540996553,0.6208,27.943898677825928
10,0.9907077766227722,0.64086,4490.817313194275,1.0841141839981079,0.6157,29.212975025177002
11,0.9510407456970215,0.65418,4905.1167912483215,1.0457248803138732,0.624,29.23738670349121
12,0.904803856086731,0.67178,5319.350691080093,1.1053149998188019,0.6144,29.379037380218506
13,0.8739916891574859,0.68414,5733.865292072296,1.0156429490089416,0.6348,29.373719215393066
14,0.8303005135297775,0.69878,6149.48538851738,0.9915502848148346,0.6424,29.022730827331543
15,0.7962917205619812,0.71358,6564.809452533722,1.0023451464653015,0.6473,28.740858554840088
16,0.7585547332668304,0.72662,6980.241961717606,0.9515958354473114,0.664,28.674156188964844
17,0.7114267038226127,0.7407,7394.806445598602,1.001163219833374,0.6612,27.866439819335938
18,0.6780897802042961,0.75544,7809.77121925354,1.0110592399597167,0.6496,29.133958339691162
19,0.6348937392687798,0.7715,8225.095047473907,0.971582258272171,0.6726,28.98922109603882
20,0.5933292239546776,0.78482,8640.905797481537,0.9461241500616073,0.6807,27.76726722717285
21,0.5512396230649949,0.80066,9057.243387699127,0.9976661097049713,0.6731,29.46451687812805
22,0.5074084973311425,0.81658,9472.499624490738,0.9882954558849335,0.6751,28.33165979385376
23,0.464957982724905,0.83124,9886.4689412117,0.9941281992793083,0.6844,29.50459909439087
24,0.4193385391068459,0.8471,10302.221628427505,1.0546988512039184,0.6722,29.020907163619995
25,0.3759302579879761,0.86366,10713.939541101456,1.056571626496315,0.6779,28.02492380142212
26,0.3411757395377755,0.87578,11127.073001146317,1.1468343108296395,0.6767,29.217752933502197
27,0.3017830600520968,0.89088,11542.487056016922,1.1647686899900436,0.6726,28.17885661125183
28,0.2699067605058849,0.90234,11953.764976024628,1.2624624455928803,0.6772,27.917619705200195
29,0.24327438733667137,0.91278,12368.270441532135,1.3591032808184624,0.6716,29.113602876663208
30,0.22226971320733427,0.9201,12779.708045959473,1.3072052763104438,0.675,29.290061473846436
