Epoch,Training_Loss,Training_Accuracy,Training_Time,Validation_Loss,Validation_Accuracy,Validation_Time
0,1.6862737023735046,0.36882,540.8432636260986,1.4174277292251587,0.478,55.54607081413269
1,1.3116161724472046,0.52356,1149.5433576107025,1.2782491836071015,0.5414,55.95890998840332
2,1.1673918055725097,0.57598,1761.4637386798859,1.1662533361911773,0.5791,55.73881506919861
3,1.0820737916374206,0.6122,2374.6169064044952,1.100682984638214,0.5977,55.87326622009277
4,1.0194535413837433,0.63512,2987.97322678566,1.0744456224918366,0.6131,55.9480459690094
5,0.9638602138471604,0.6578,3603.3013756275177,1.02651754322052,0.6355,55.86527872085571
6,0.9156449040699005,0.67188,4217.217052936554,0.9764521500587463,0.6497,56.010852575302124
7,0.8699003570413589,0.69064,4830.863773345947,0.9995103297710418,0.6469,56.24961733818054
8,0.8278755111980438,0.70636,5445.07696723938,0.988203162908554,0.6457,56.199015855789185
9,0.7944098971033097,0.71686,6059.85288476944,0.9135830233097076,0.6753,56.45792198181152
10,0.7605013204336166,0.73056,6676.266067743301,0.9341993638515472,0.6707,56.13289451599121
11,0.7392749167442322,0.73632,7292.793472766876,0.9031224544525146,0.6833,56.66551089286804
12,0.7106583108663559,0.7482,7909.853199958801,0.8812843237876892,0.6884,56.59433460235596
13,0.6866214334154129,0.75514,8527.053297042847,0.8960637156963348,0.6928,56.46559810638428
14,0.6656132203316688,0.76312,9145.61221575737,0.9596068583250046,0.6791,57.753299713134766
15,0.6423579686832428,0.77048,9763.493700504303,0.9258863204717636,0.6834,57.06609320640564
16,0.6194230700612068,0.77858,10382.693836450577,0.8967993117809295,0.6974,56.6613404750824
17,0.5957928394651413,0.7863,11003.60667014122,0.9093122611761093,0.6956,56.801424741744995
18,0.5729135470294953,0.79474,11621.40621972084,0.9062154940128326,0.696,57.42250990867615
19,0.5520264287161827,0.80398,12240.912648200989,0.9518388040781021,0.6858,56.87133741378784
20,0.5332333642053604,0.80934,12857.989805698395,0.959800035071373,0.6839,57.84182596206665
21,0.5142536213815212,0.81724,13476.420421123505,0.9618200183629989,0.6896,59.12292766571045
22,0.4959873893022537,0.82314,14096.404655694962,0.9360086664438247,0.6921,57.956278562545776
23,0.4812194151139259,0.82836,14713.523778676987,0.9441187541723252,0.7002,57.99891257286072
24,0.4634974306070805,0.83446,15330.312608242035,0.9616260579705238,0.6917,57.69005537033081
25,0.4412717886245251,0.84214,15948.790281295776,1.0046925136089324,0.6909,57.567657470703125
26,0.4250466606938839,0.8473,16566.93179821968,0.9603021683931351,0.7029,58.46080136299133
27,0.4073354977602512,0.85366,17186.572418689728,0.9740942971467972,0.7036,57.71570563316345
28,0.3931296813130379,0.85668,17805.391769886017,0.977238876080513,0.7005,58.051509380340576
29,0.3700435895317793,0.86552,18423.28416275978,1.0285157303333283,0.6962,58.36394739151001
30,0.3530882727986574,0.8715,19043.053096294403,1.0180389424324037,0.6976,58.1869740486145
31,0.33598254962414503,0.87714,19661.447341680527,1.0589473671078682,0.7034,59.035001039505005
32,0.3273564549225569,0.88008,20281.123844623566,1.0553891124248505,0.6954,59.071738958358765
33,0.31033093210041524,0.88782,20897.872932434082,1.0359063600420952,0.6996,59.35137319564819
34,0.29573715500205755,0.89252,21517.745563030243,1.1536313149571418,0.6897,58.77094340324402
35,0.2784521995024383,0.90026,22134.037213087082,1.1176507941663265,0.7019,59.57760262489319
36,0.2670446312107146,0.90204,22752.446499347687,1.174930966156721,0.6965,59.66751766204834
37,0.25658574106618764,0.90564,23370.401767730713,1.230351355546713,0.6953,58.74636960029602
38,0.24660127209313215,0.91098,23989.838171958923,1.2329367423057556,0.6905,58.820560693740845
39,0.23730892410829663,0.91316,24610.884054660797,1.1939200807452202,0.701,59.33911871910095
40,0.22094919642969965,0.91954,25230.023992538452,1.3268740096211433,0.6892,60.225337982177734
41,0.21547690809756517,0.9218,25851.879707813263,1.2745085411190986,0.6973,59.55909824371338
42,0.20464689209133385,0.92568,26472.79287838936,1.2325650455832482,0.6969,59.271981954574585
43,0.19806727538965643,0.9279,27092.585052490234,1.2795099556088447,0.6908,59.675896644592285
44,0.18401090416692198,0.93334,27714.4985268116,1.371674534201622,0.6851,59.34999227523804
45,0.1821101373567991,0.93326,28334.23953437805,1.2466229308962822,0.7014,59.43442916870117
46,0.1670859146736935,0.9407,28956.446539878845,1.3724969750165938,0.6928,59.471115827560425
47,0.1625477452397719,0.94208,29577.412991285324,1.3420220038175583,0.7015,59.66572284698486
48,0.161360449404791,0.94162,30199.94698023796,1.4062817507982255,0.6968,59.73102807998657
49,0.15134628266096115,0.94672,30819.771565437317,1.419524862742424,0.6988,59.873865842819214
50,0.15007619006644934,0.94662,31444.106255292892,1.3307465034276247,0.701,61.46107339859009
51,0.14197087994318455,0.94814,32066.681081533432,1.4700438170552255,0.6948,60.029497385025024
52,0.13728149306099863,0.95052,32688.335530281067,1.4742944287836552,0.7031,63.50119686126709
53,0.1328992044849135,0.9516,33313.81000781059,1.5209839851498603,0.6966,60.234052419662476
54,0.13271416552885434,0.95234,33934.02644228935,1.4908493118464947,0.6947,60.92265295982361
55,0.12561536186184735,0.95442,34556.849133491516,1.4771017813652754,0.7017,60.44279861450195
56,0.12023351625742391,0.95778,35178.9024207592,1.4027839766025543,0.7014,72.46448850631714
57,0.11741364811277016,0.95824,35811.30849480629,1.4935159143686294,0.6961,62.421024560928345
58,0.11916349865059368,0.95876,36433.89668035507,1.4826669921159745,0.6985,62.431883811950684
59,0.11747743309307844,0.9575,37057.42439055443,1.454214511334896,0.6934,60.84073090553284
60,0.10890837107283995,0.96174,37678.55482625961,1.548519237112999,0.6894,62.12092113494873
61,0.10431114345492795,0.96314,38303.09207248688,1.5984602398991585,0.7008,60.99125623703003
62,0.1047122402913496,0.96262,38926.37369632721,1.5771167123794556,0.7073,63.65893268585205
63,0.099448617909085,0.96464,39551.957549095154,1.5232902353733777,0.6972,61.31638765335083
64,0.09499641859837808,0.96614,40175.741193532944,1.498085772752762,0.7015,62.206204414367676
65,0.09579250760472613,0.96596,40800.11505770683,1.548890074825287,0.6951,61.56635546684265
66,0.09030572466074954,0.96696,41424.26910686493,1.5690926147431135,0.7004,62.584861040115356
67,0.08817301009094343,0.96898,42049.454085588455,1.6351773602724076,0.6957,61.72806406021118
68,0.0905785455236677,0.96806,42675.043947696686,1.617312789094448,0.6954,62.66915941238403
69,0.08091415277590044,0.97208,43301.42086815834,1.6274752069234848,0.6936,61.86185431480408
70,0.08312251474454067,0.97104,43925.79292964935,1.6441866995692254,0.6949,63.02816200256348
71,0.08158311865024269,0.97114,44552.20944190025,1.5235560260236263,0.6988,62.2005558013916
72,0.08172296111119912,0.97152,45178.63940644264,1.6086770849227905,0.7002,63.20842695236206
73,0.07600778665591963,0.97324,45805.348366975784,1.674533981859684,0.7,62.36802649497986
74,0.08164765647312044,0.97144,46432.248039484024,1.6794457601547241,0.6939,63.3680534362793
75,0.08035964489317965,0.97194,47058.01190686226,1.7010821568012238,0.6933,64.62552404403687
76,0.07826491560337134,0.97218,47684.72161221504,1.6903869407325982,0.6934,69.9949061870575
77,0.07688772525347769,0.97388,48315.68717837334,1.7325517293155193,0.6869,62.86308193206787
78,0.0747027965675178,0.97254,48956.10772681236,1.6802887523055077,0.6963,68.17933487892151
79,0.07570515410199179,0.97306,49588.362446546555,1.687031064248085,0.6907,63.08298325538635
80,0.07159030536134262,0.97416,50228.393552064896,1.6734256311684848,0.7001,64.19024014472961
81,0.0682869809581153,0.9749,50857.72445440292,1.7059743680477142,0.6886,63.276713609695435
82,0.07013751700678375,0.97614,51501.70290875435,1.7479662780284881,0.6951,64.25428748130798
83,0.06837580645100214,0.97634,52130.96236252785,1.7856788257837295,0.6893,63.29474997520447
84,0.06540006457272916,0.97704,52760.433507204056,1.8133912380754948,0.6872,64.36803078651428
85,0.06700381841494003,0.97568,53387.25693774223,1.786803647518158,0.6994,63.41762971878052
86,0.06564219331916421,0.97708,54021.44544792175,1.8005004200994967,0.6906,63.559255599975586
87,0.06530059374138422,0.97738,54650.5903069973,1.764951151227951,0.6967,63.67965817451477
88,0.05971085044663865,0.97904,55286.679448843,1.8059826691150664,0.6997,63.87800121307373
89,0.05963557921346277,0.97976,55916.01266789436,1.7281138781905174,0.697,63.97696256637573
90,0.06250941815659637,0.97836,56544.66798496246,1.8134981888055801,0.6931,64.07658576965332
91,0.06113259972150437,0.97866,57175.57900714874,1.8148562559604644,0.6962,64.24117588996887
92,0.060618263033789116,0.97938,57806.759123802185,1.8744321889042854,0.6925,64.35434198379517
93,0.057899762558367804,0.98002,58437.663903951645,1.756238802884519,0.6972,64.35864734649658
94,0.05655658841349301,0.98026,59067.25546717644,1.7599972985148429,0.7069,64.51959896087646
95,0.05580886908514658,0.9803,59699.55114865303,1.821789376679063,0.6961,64.63845014572144
96,0.056517624577423556,0.9808,60332.14449262619,1.833563747036457,0.6951,64.7054979801178
97,0.05269428006844013,0.98126,60964.250205516815,1.8651352395057679,0.6977,64.7283821105957
98,0.05280939652643341,0.98182,61593.72485589981,1.9416872489333152,0.6897,64.75876331329346
99,0.052955644922243666,0.98128,62225.2045879364,1.9063378828048707,0.6924,67.23093295097351
